Station Name,Org Name,No. of Ports,Usable By,Country ,Postal Code,Customer Category,Customer Subcategory,Station Activation Date,Location 1,Location 2
COA FACILITIES / WALNUTCREEKPRK2,AUSTIN ENERGY,2,All Drivers,United States,78753,Parking,Commercial,09/27/2011 03:21:00 PM,"000D:6F00:009D:CCC4
Austin, Texas 78753
(30.398552, -97.679832)","12138 N Lamar Blvd
Austin, Texas 78753
(30.398552, -97.679832)"
COA FACILITIES / ZILKER PARK PH1,AUSTIN ENERGY,2,All Drivers,United States,78704,Parking,Commercial,03/23/2011 06:49:00 AM,"000D:6F00:00A5:8488
Austin, Texas 78704
(30.264322, -97.770737)","2100 Barton Spring Rd
Austin, Texas 78704
(30.264322, -97.770737)"
COA FACILITIES / ZILKER PARK PH2,AUSTIN ENERGY,2,All Drivers,United States,78704,Parking,Commercial,04/25/2011 11:30:00 AM,"000D:6F00:009D:D121
Austin, Texas 78704
(30.264336, -97.770645)","2100 Barton Spring RD
Austin, Texas 78704
(30.264336, -97.770645)"
COA FACILITIES / ZILKERPARKPOLO1,AUSTIN ENERGY,2,All Drivers,United States,78746,Parking,Commercial,12/08/2011 08:49:00 AM,"000D:6F00:00A5:8580
Austin, Texas 78746
(30.266584, -97.774925)","2310 Andrew Zilker Rd
Austin, Texas 78746
(30.266584, -97.774925)"
COA FACILITIES / ZILKERPARKPOLO2,AUSTIN ENERGY,2,All Drivers,United States,78746,Parking,Commercial,12/08/2011 08:49:00 AM,"000D:6F00:009D:CC67
Austin, Texas 78746
(30.266611, -97.774918)","2310 Andrew Zilker Rd
Austin, Texas 78746
(30.266611, -97.774918)"
COA FLEET - PIE / BARTON #1,US City of Austin Texas,2,All Drivers,United States,78704,Municipal,Municipal Fleet,08/01/2012 11:29:00 AM,"000D:6F00:00A5:848A
Austin, Texas 78704
(30.258631, -97.74855)","401-599 Barton Springs Rd
Austin, Texas 78704
(30.258631, -97.74855)"
COA FLEET - PIE / BARTON #2,US City of Austin Texas,2,All Drivers,United States,78704,Municipal,Municipal Fleet,08/01/2012 11:34:00 AM,"000D:6F00:009D:9925
Austin, Texas 78704
(30.258635, -97.748543)","400-598 Barton Springs Rd
Austin, Texas 78704
(30.258635, -97.748543)"
COA FLEET - PIE / BARTON #3,US City of Austin Texas,2,All Drivers,United States,78704,Municipal,Municipal Fleet,08/01/2012 11:33:00 AM,"000D:6F00:009D:CC45
Austin, Texas 78704
(30.258631, -97.748566)","401-599 Barton Springs Rd
Austin, Texas 78704
(30.258631, -97.748566)"
COA FLEET - PIE / BARTON #4,US City of Austin Texas,2,All Drivers,United States,78704,Municipal,Municipal Fleet,08/01/2012 11:42:00 AM,"000D:6F00:009D:CF96
Austin, Texas 78704
(30.258627, -97.748573)","401-599 Barton Springs Rd
Austin, Texas 78704
(30.258627, -97.748573)"
COA FLEET - PIE / ED BLUE #1,US City of Austin Texas,2,All Drivers,United States,78725,Municipal,Municipal Fleet,08/07/2012 05:41:00 AM,"000D:6F00:00A5:8637
Austin, Texas 78725
(30.277622, -97.666313)","4201 Ed Bluestein Blvd
Austin, Texas 78725
(30.277622, -97.666313)"
COA FLEET - PIE / ED BLUE #2,US City of Austin Texas,2,All Drivers,United States,78725,Municipal,Municipal Fleet,08/07/2012 06:24:00 AM,"000D:6F00:009D:7155
Austin, Texas 78725
(30.277628, -97.666298)","4201 Ed Bluestein Blvd
Austin, Texas 78725
(30.277628, -97.666298)"
COA FLEET - PIE / ED BLUE #3,US City of Austin Texas,2,All Drivers,United States,78725,Municipal,Municipal Fleet,08/07/2012 05:47:00 AM,"000D:6F00:00A5:848C
Austin, Texas 78725
(30.277632, -97.666283)","4201 Ed Bluestein Blvd
Austin, Texas 78725
(30.277632, -97.666283)"
COA FLEET - PIE / FLOOR 4 ADA,US City of Austin Texas,2,All Drivers,United States,78701,Municipal,Municipal Fleet,08/27/2012 10:44:00 AM,"000D:6F00:00A5:8533
Austin, Texas 78701
(30.269745, -97.734467)","625 E 10th St
Austin, Texas 78701
(30.269745, -97.734467)"
COA FLEET - PIE / FLOOR4,US City of Austin Texas,2,All Drivers,United States,78701,Municipal,Municipal Fleet,08/27/2012 02:03:00 PM,"000D:6F00:015A:9909
Austin, Texas 78701
(30.269112, -97.734062)","900 N Interstate 35
Austin, Texas 78701
(30.269112, -97.734062)"
COA FLEET - PIE / MEINARD #1,US City of Austin Texas,2,All Drivers,United States,78744,Municipal,Municipal Fleet,07/17/2012 06:44:00 AM,"000D:6F00:00A2:1088
Austin, Texas 78744
(30.211361, -97.752083)","4393-4799 Meinardus Dr
Austin, Texas 78744
(30.211361, -97.752083)"
COA FLEET - PIE / MEINARD #2,US City of Austin Texas,2,All Drivers,United States,78744,Municipal,Municipal Fleet,07/19/2012 09:33:00 AM,"000D:6F00:009D:9415
Austin, Texas 78744
(30.211357, -97.752083)","4393-4799 Meinardus Dr
Austin, Texas 78744
(30.211357, -97.752083)"
COA FLEET - PIE / RIO G #1,US City of Austin Texas,2,All Drivers,United States,78701,Municipal,Municipal Fleet,07/26/2012 09:51:00 PM,"000D:6F00:00A2:0DAB
Austin, Texas 78701
(30.274805, -97.747632)","1111 Rio Grande St
Austin, Texas 78701
(30.274805, -97.747632)"
COA FLEET - PIE / RIO G #2,US City of Austin Texas,2,All Drivers,United States,78701,Municipal,Municipal Fleet,07/30/2012 07:04:00 AM,"000D:6F00:009D:5D7D
Austin, Texas 78701
(30.274661, -97.747504)","1111 Rio Grande St
Austin, Texas 78701
(30.274661, -97.747504)"
COA FLEET - PIE / RIO G #3,US City of Austin Texas,2,All Drivers,United States,78701,Municipal,Municipal Fleet,07/30/2012 07:06:00 AM,"000D:6F00:00A2:0F65
Austin, Texas 78701
(30.274736, -97.747596)","1111 Rio Grande St
Austin, Texas 78701
(30.274736, -97.747596)"
COA FLEET - PIE / ROOF 1,US City of Austin Texas,2,All Drivers,United States,78701,Municipal,Municipal Fleet,08/28/2012 07:43:00 AM,"000D:6F00:00A5:8C88
Austin, Texas 78701
(30.268921, -97.734787)","700-798 E 9th St
Austin, Texas 78701
(30.268921, -97.734787)"
COA FLEET - PIE / ROOF2,US City of Austin Texas,2,All Drivers,United States,78701,Municipal,Municipal Fleet,08/27/2012 10:53:00 AM,"000D:6F00:009D:7168
Austin, Texas 78701
(30.268908, -97.734749)","700-798 E 9th St
Austin, Texas 78701
(30.268908, -97.734749)"
COA FLEET - PIE / ROOF3,US City of Austin Texas,2,All Drivers,United States,78701,Municipal,Municipal Fleet,08/27/2012 10:56:00 AM,"000D:6F00:00A5:8498
Austin, Texas 78701
(30.268894, -97.734703)","700-798 E 9th St
Austin, Texas 78701
(30.268894, -97.734703)"
COA FLEET - PIE / ROOF4,US City of Austin Texas,2,All Drivers,United States,78701,Municipal,Municipal Fleet,08/27/2012 11:12:00 AM,"000D:6F00:009D:CC5F
Austin, Texas 78701
(30.268885, -97.734673)","700-798 E 9th St
Austin, Texas 78701
(30.268885, -97.734673)"
COA FLEET - PIE / ROOF5,US City of Austin Texas,2,All Drivers,United States,78701,Municipal,Municipal Fleet,08/27/2012 11:10:00 AM,"000D:6F00:009D:99FE
Austin, Texas 78701
(30.268883, -97.734665)","700-798 E 9th St
Austin, Texas 78701
(30.268883, -97.734665)"
COA FLEET - PIE / ROOF6,US City of Austin Texas,2,All Drivers,United States,78701,Municipal,Municipal Fleet,08/27/2012 11:11:00 AM,"000D:6F00:009D:7471
Austin, Texas 78701
(30.268866, -97.734612)","700-798 E 9th St
Austin, Texas 78701
(30.268866, -97.734612)"
COA FLEET - PIE / RUTHERFORD #1,US City of Austin Texas,2,All Drivers,United States,78754,Municipal,Municipal Fleet,08/31/2012 12:16:00 PM,"000D:6F00:009D:CBEF
Austin, Texas 78754
(30.335861, -97.679398)","1520 Rutherford Ln
Austin, Texas 78754
(30.335861, -97.679398)"
COA FLEET - PIE / RUTHERFORD #2,US City of Austin Texas,2,All Drivers,United States,78754,Municipal,Municipal Fleet,08/31/2012 12:22:00 PM,"000D:6F00:0069:CBA0
Austin, Texas 78754
(30.335873, -97.679359)","1520 Rutherford Ln
Austin, Texas 78754
(30.335873, -97.679359)"
COA FLEET - PIE / RUTHERFORD #3,US City of Austin Texas,2,All Drivers,United States,78754,Municipal,Municipal Fleet,08/31/2012 12:25:00 PM,"000D:6F00:009D:CB74
Austin, Texas 78754
(30.335857, -97.679413)","1520 Rutherford Ln
Austin, Texas 78754
(30.335857, -97.679413)"
COA FLEET - PIE / RUTHERFORD #4,US City of Austin Texas,2,All Drivers,United States,78754,Municipal,Municipal Fleet,08/31/2012 12:30:00 PM,"000D:6F00:009D:9C8C
Austin, Texas 78754
(30.335852, -97.679428)","1520 Rutherford Ln
Austin, Texas 78754
(30.335852, -97.679428)"
COA FLEET - PIE / RUTHERFORD #5,US City of Austin Texas,2,All Drivers,United States,78754,Municipal,Municipal Fleet,08/31/2012 12:09:00 PM,"000D:6F00:00A5:84C4
Austin, Texas 78754
(30.335863, -97.679329)","1520 Rutherford Ln
Austin, Texas 78754
(30.335863, -97.679329)"
COA FLEET - PIE / RUTHERFORD #6,US City of Austin Texas,2,All Drivers,United States,78754,Municipal,Municipal Fleet,08/31/2012 12:31:00 PM,"000D:6F00:009D:CF93
Austin, Texas 78754
(30.335842, -97.679443)","1520 Rutherford Ln
Austin, Texas 78754
(30.335842, -97.679443)"
COA FLEET - PIE / RUTHERFORD #7,US City of Austin Texas,2,All Drivers,United States,78754,Municipal,Municipal Fleet,08/31/2012 12:29:00 PM,"000D:6F00:009D:98FC
Austin, Texas 78754
(30.335838, -97.679451)","1520 Rutherford Ln
Austin, Texas 78754
(30.335838, -97.679451)"
COA FLEET - PIE / RUTHERFORD #8,US City of Austin Texas,2,All Drivers,United States,78754,Municipal,Municipal Fleet,08/31/2012 12:42:00 PM,"000D:6F00:015A:9C8E
Austin, Texas 78754
(30.335829, -97.679459)","1520 Rutherford Ln
Austin, Texas 78754
(30.335829, -97.679459)"
COA FLEET - PIE / RUTHERFORD #9,US City of Austin Texas,2,All Drivers,United States,78754,Municipal,Municipal Fleet,08/31/2012 12:43:00 PM,"000D:6F00:009D:5D7A
Austin, Texas 78754
(30.335875, -97.679382)","1520 Rutherford Ln
Austin, Texas 78754
(30.335875, -97.679382)"
COA FLEET - PIE / SPRING #1,US City of Austin Texas,2,All Drivers,United States,78702,Municipal,Municipal Fleet,07/11/2012 02:14:00 PM,"000D:6F00:00A5:8B6F
Austin, Texas 78702
(30.259113, -97.699699)","800-816 Springdale Rd
Austin, Texas 78702
(30.259113, -97.699699)"
COA FLEET - PIE / SPRING #2,US City of Austin Texas,2,All Drivers,United States,78702,Municipal,Municipal Fleet,07/12/2012 12:54:00 PM,"000D:6F00:009D:5DB8
Austin, Texas 78702
(30.259312, -97.699577)","800-816 Springdale Rd
Austin, Texas 78702
(30.259312, -97.699577)"
COA FLEET - PIE / TOOMEY #1,US City of Austin Texas,2,All Drivers,United States,78704,Municipal,Municipal Fleet,07/09/2012 12:02:00 PM,"000D:6F00:015A:9EA2
Austin, Texas 78704
(30.263723, -97.759262)","1501 Toomey Rd
Austin, Texas 78704
(30.263723, -97.759262)"
COA FLEET - PIE / TOOMEY #2,US City of Austin Texas,2,All Drivers,United States,78704,Municipal,Municipal Fleet,07/09/2012 11:58:00 AM,"000D:6F00:015A:99B1
Austin, Texas 78704
(30.263716, -97.759239)","1501-1615 Toomey Rd
Austin, Texas 78704
(30.263716, -97.759239)"
DOMAIN JUNCTION / LEFT STATION,Endeavor Real Estate Group,1,Tenant Only,United States,78758,Workplace,General,03/18/2015 12:21:00 PM,"0024:B100:0002:0FEC
Austin, Texas 78758
(30.400567, -97.719746)","11501 Alterra Pkwy
Austin, Texas 78758
(30.400567, -97.719746)"
DOMAIN JUNCTION / RIGHT STATION,Endeavor Real Estate Group,1,Tenant Only,United States,78758,Workplace,General,04/28/2015 01:15:00 PM,"0024:B100:0002:102F
Austin, Texas 78758
(30.400619, -97.719725)","11501 Alterra Pkwy
Austin, Texas 78758
(30.400619, -97.719725)"
GPT / GABLES 1,Gables Park Tower,2,All Drivers,United States,78701,Multifamily Commercial,Apartment,03/26/2015 02:55:00 PM,"0024:B100:0002:14C6
Austin, Texas 78701
(30.268637, -97.754851)","898-900 W 3rd St
Austin, Texas 78701
(30.268637, -97.754851)"
GPT / GPT 2,Gables Park Tower,2,All Drivers,United States,78701,Multifamily Commercial,Apartment,03/26/2015 02:56:00 PM,"0024:B100:0002:17E3
Austin, Texas 78701
(30.268498, -97.754605)","830 W 3rd St
Austin, Texas 78701
(30.268498, -97.754605)"
GPT / GPT 3,Gables Park Tower,2,All Drivers,United States,78701,Multifamily Commercial,Apartment,03/26/2015 02:58:00 PM,"0024:B100:0002:1724
Austin, Texas 78701
(30.268396, -97.754401)","787-799 W 3rd St
Austin, Texas 78701
(30.268396, -97.754401)"
LIVESTRONG / 2201 E 6TH ST,LIVESTRONG Foundation,1,All Drivers,United States,78702,Healthcare,Small Medical,10/25/2012 12:04:00 PM,"000D:6F00:0154:F114
Austin, Texas 78702
(30.25997, -97.718658)","2201 E 6th St
Austin, Texas 78702
(30.25997, -97.718658)"
NATIONAL INSTRU / STAT 1,National Instruments,2,All Drivers,United States,78759,Municipal,Municipal Parking,09/10/2012 10:15:00 AM,"000D:6F00:0155:0053
Austin, Texas 78759
(30.408803, -97.725229)","11500 N Mopac Expy
Austin, Texas 78759
(30.408803, -97.725229)"
NATIONAL INSTRU / STAT 1O,National Instruments,1,All Drivers,United States,78759,Workplace,General,03/29/2013 12:31:00 PM,"000D:6F00:009D:604D
Austin, Texas 78759
(30.408536, -97.7278)","11800 N Mopac Expy
Austin, Texas 78759
(30.408536, -97.7278)"
NATIONAL INSTRU / STAT 2,National Instruments,1,All Drivers,United States,78759,Municipal,Municipal Parking,03/27/2013 03:54:00 PM,"000D:6F00:0154:F34B
Austin, Texas 78759
(30.408748, -97.725277)","11500 N Mopac Expy
Austin, Texas 78759
(30.408748, -97.725277)"
NATIONAL INSTRU / STAT 3,National Instruments,1,All Drivers,United States,78759,Workplace,General,03/27/2013 03:57:00 PM,"000D:6F00:009D:5D8F
Austin, Texas 78759
(30.408632, -97.725359)","11500 N Mopac Expy
Austin, Texas 78759
(30.408632, -97.725359)"
NATIONAL INSTRU / STAT 4,National Instruments,1,All Drivers,United States,78759,Workplace,General,03/27/2013 03:54:00 PM,"000D:6F00:015A:6EC2
Austin, Texas 78759
(30.408928, -97.725137)","11500 N Mopac Expy
Austin, Texas 78759
(30.408928, -97.725137)"
NATIONAL INSTRU / STAT 5,National Instruments,1,All Drivers,United States,78759,Workplace,General,03/27/2013 03:57:00 PM,"000D:6F00:0154:F38A
Austin, Texas 78759
(30.408865, -97.725183)","11500 N Mopac Expy
Austin, Texas 78759
(30.408865, -97.725183)"
NATIONAL INSTRU / STAT 6,National Instruments,1,All Drivers,United States,78759,Workplace,General,03/27/2013 03:57:00 PM,"000D:6F00:015A:9EE2
Austin, Texas 78759
(30.408989, -97.725089)","11500 N Mopac Expy
Austin, Texas 78759
(30.408989, -97.725089)"
NATIONAL INSTRU / STAT 7,National Instruments,1,All Drivers,United States,78759,Workplace,General,03/27/2013 03:55:00 PM,"000D:6F00:009D:71BD
Austin, Texas 78759
(30.408691, -97.725321)","11500 N Mopac Expy
Austin, Texas 78759
(30.408691, -97.725321)"
NATIONAL INSTRU / STAT 8,National Instruments,2,All Drivers,United States,78759,Workplace,General,03/27/2013 04:05:00 PM,"000D:6F00:015B:7803
Austin, Texas 78759
(30.408545, -97.727688)","11800 N Mopac Expy
Austin, Texas 78759
(30.408545, -97.727688)"
NATIONAL INSTRU / STAT 9,National Instruments,1,All Drivers,United States,78759,Workplace,General,03/29/2013 12:27:00 PM,"000D:6F00:009D:5E5D
Austin, Texas 78759
(30.40854, -97.727744)","11800 N Mopac Expy
Austin, Texas 78759
(30.40854, -97.727744)"
NEIGHBORHOOD HO / 912 E11TH STAT1,Neighborhood Housing & Community Development,2,All Drivers,United States,78702,Municipal,Municipal Parking,12/09/2012 10:09:00 AM,"000D:6F00:015B:8EF1
Austin, Texas 78702
(30.270014, -97.730825)","912 E 11th St
Austin, Texas 78702
(30.270014, -97.730825)"
NISSAN-TOWN NOR / QUICK CHARGER 1,NNA DL - Town North Nissan,1,All Drivers,United States,78758,Retail,Auto Dealership,03/18/2014 02:44:00 PM,"000D:6F00:009D:5D1D
Austin, Texas 78758
(30.374418, -97.732155)","9160 Research Blvd
Austin, Texas 78758
(30.374418, -97.732155)"
OPHTHALMOLOGY / AUSTIN EYE STA1,Austin Eye,2,All Drivers,United States,78751,Workplace,General,10/03/2014 04:18:00 PM,"0024:B100:0002:1597
Austin, Texas 78751
(30.296713, -97.719788)","1009 E 40th St
Austin, Texas 78751
(30.296713, -97.719788)"
PLUGNEVERYWHERE / ACCSOAUSTIN1,AUSTIN ENERGY,2,All Drivers,United States,78745,Parking,Commercial,01/24/2012 11:07:00 AM,"000D:6F00:015B:9400
Austin, Texas 78745
(30.216026, -97.796371)","1820 W Stassney Ln
Austin, Texas 78745
(30.216026, -97.796371)"
PLUGNEVERYWHERE / ERCOT 1,AUSTIN ENERGY,2,All Drivers,United States,78744,Workplace,General,08/21/2013 03:15:00 PM,"000D:6F00:0069:B5D6
Austin, Texas 78744
(30.2165, -97.691795)","7620 Metro Center Dr
Austin, Texas 78744
(30.2165, -97.691795)"
PLUGNEVERYWHERE / ERCOT 2,AUSTIN ENERGY,2,All Drivers,United States,78744,Municipal,Municipal Workplace,11/03/2011 11:32:00 AM,"000D:6F00:015A:974A
Austin, Texas 78744
(30.216521, -97.691645)","7620 Metro Center Dr
Austin, Texas 78744
(30.216521, -97.691645)"
PLUGNEVERYWHERE / ERCOT 3,AUSTIN ENERGY,2,All Drivers,United States,78744,Municipal,Municipal Workplace,08/22/2013 11:25:00 AM,"000D:6F00:009E:D6D7
Austin, Texas 78744
(30.216505, -97.691533)","7615-7639 Metro Center Dr
Austin, Texas 78744
(30.216505, -97.691533)"
PLUGNEVERYWHERE / HEB 6EA1,AUSTIN ENERGY,1,All Drivers,United States,78751,Parking,Commercial,05/02/2012 05:34:00 PM,"000D:6F00:04B8:9E51
Austin, Texas 78751
(30.299752, -97.720467)","1000 E 41st St
Austin, Texas 78751
(30.299752, -97.720467)"
PLUGNEVERYWHERE / PALMER STATION4,AUSTIN ENERGY,2,All Drivers,United States,78704,Parking,Commercial,06/21/2012 08:53:00 AM,"000D:6F00:0155:49EA
Austin, Texas 78704
(30.259881, -97.752636)","846 Barton Springs Rd
Austin, Texas 78704
(30.259881, -97.752636)"
PLUGNEVERYWHERE / PALMER STATION5,AUSTIN ENERGY,2,All Drivers,United States,78704,Municipal,Municipal Parking,10/13/2011 11:19:00 AM,"000D:6F00:015A:9C84
Austin, Texas 78704
(30.259881, -97.752744)","846-888 Barton Springs Rd
Austin, Texas 78704
(30.259881, -97.752744)"
