Station Name,Org Name,No. of Ports,Usable By,Country ,Postal Code,Customer Category,Customer Subcategory,Station Activation Date,Location 1,Location 2
PLUGNEVERYWHERE / PALMER STATION6,AUSTIN ENERGY,2,All Drivers,United States,78704,Parking,Commercial,05/25/2012 11:24:00 AM,"000D:6F00:009D:D293
Austin, Texas 78704
(30.259909, -97.752583)","822-844 Barton Springs Rd
Austin, Texas 78704
(30.259909, -97.752583)"
PLUGNEVERYWHERE / PALMER STATION7,AUSTIN ENERGY,2,All Drivers,United States,78704,Parking,Commercial,07/13/2012 09:24:00 AM,"000D:6F00:0155:49E9
Austin, Texas 78704
(30.2599, -97.752701)","900 Barton Springs Rd
Austin, Texas 78704
(30.2599, -97.752701)"
PLUGNEVERYWHERE / PALMER STATION8,AUSTIN ENERGY,2,All Drivers,United States,78704,Parking,Commercial,06/21/2012 08:50:00 AM,"000D:6F00:009D:9C63
Austin, Texas 78704
(30.2599, -97.752776)","900 Barton Springs Rd
Austin, Texas 78704
(30.2599, -97.752776)"
PLUGNEVERYWHERE / PALMER STATION9,AUSTIN ENERGY,2,All Drivers,United States,78704,Parking,Commercial,07/11/2012 08:38:00 AM,"000D:6F00:015A:9888
Austin, Texas 78704
(30.25989, -97.752711)","900 Barton Springs Rd
Austin, Texas 78704
(30.25989, -97.752711)"
PLUGNEVERYWHERE / PUB CAMP MABRY1,AUSTIN ENERGY,2,All Drivers,United States,78703,Parking,Commercial,07/13/2012 09:21:00 AM,"000D:6F00:015A:9915
Austin, Texas 78703
(30.313737, -97.761197)","2200 W 35th St
Austin, Texas 78703
(30.313737, -97.761197)"
PLUGNEVERYWHERE / PUB CAMP MABRY2,AUSTIN ENERGY,2,All Drivers,United States,78703,Parking,Commercial,05/25/2012 09:55:00 AM,"000D:6F00:0155:49A4
Austin, Texas 78703
(30.313802, -97.761165)","2200 W 35th St
Austin, Texas 78703
(30.313802, -97.761165)"
PLUGNEVERYWHERE / PUB LOCKHART 1,AUSTIN ENERGY,2,All Drivers,United States,78748,Workplace,General,05/25/2012 11:22:00 AM,"000D:6F00:009D:D1BB
Austin, Texas 78748
(30.168498, -97.795821)","319 W Slaughter Ln
Austin, Texas 78748
(30.168498, -97.795821)"
PLUGNEVERYWHERE / PUB M STATION 1,AUSTIN ENERGY,2,All Drivers,United States,78702,Parking,Commercial,06/23/2011 01:43:00 PM,"000D:6F00:00A2:0E68
Austin, Texas 78702
(30.281773, -97.707939)","2906 E Martin Luther King Jr Blvd
Austin, Texas 78702
(30.281773, -97.707939)"
PLUGNEVERYWHERE / PUB RESEARCHPP1,AUSTIN ENERGY,2,All Drivers,United States,78759,Parking,Commercial,07/09/2012 01:46:00 PM,"000D:6F00:015A:988E
Austin, Texas 78759
(30.428175, -97.756317)","12301 Research Blvd
Austin, Texas 78759
(30.428175, -97.756317)"
PLUGNEVERYWHERE / PUB UTANTONIO 1,AUSTIN ENERGY,2,All Drivers,United States,78705,Parking,Commercial,10/24/2011 04:06:00 PM,"000D:6F00:015A:96BA
Austin, Texas 78705
(30.2885, -97.742343)","2418-2422 San Antonio St
Austin, Texas 78705
(30.2885, -97.742343)"
PLUGNEVERYWHERE / PUB UTANTONIO 2,AUSTIN ENERGY,2,All Drivers,United States,78705,Parking,Commercial,10/24/2011 01:26:00 PM,"000D:6F00:015A:99CC
Austin, Texas 78705
(30.288454, -97.742343)","2420 San Antonio St
Austin, Texas 78705
(30.288454, -97.742343)"
PLUGNEVERYWHERE / PUB UTPICKLE1,AUSTIN ENERGY,2,All Drivers,United States,78758,Workplace,General,03/03/2015 11:56:00 AM,"0024:B100:0002:17F7
Austin, Texas 78758
(30.389653, -97.725036)","Rd A
Austin, Texas 78758
(30.389653, -97.725036)"
PLUGNEVERYWHERE / PUB UTPICKLE2,AUSTIN ENERGY,2,All Drivers,United States,78758,Education,University / College,03/03/2015 12:11:00 PM,"0024:B100:0002:1AEC
Austin, Texas 78758
(30.389602, -97.725084)","Rd A
Austin, Texas 78758
(30.389602, -97.725084)"
PLUGNEVERYWHERE / PUB-ACC EVIEW1,AUSTIN ENERGY,2,All Drivers,United States,78702,Parking,Commercial,12/30/2011 11:43:00 AM,"000D:6F00:009D:9A3F
Austin, Texas 78702
(30.268135, -97.706108)","3401 Webberville Rd
Austin, Texas 78702
(30.268135, -97.706108)"
PLUGNEVERYWHERE / PUB-ACC EVIEW2,AUSTIN ENERGY,2,All Drivers,United States,78702,Parking,Commercial,06/29/2012 09:30:00 AM,"000D:6F00:015A:6E6C
Austin, Texas 78702
(30.268456, -97.70713)","3401 Webberville Rd
Austin, Texas 78702
(30.268456, -97.70713)"
PLUGNEVERYWHERE / PUB-ACC NRIDGE1,AUSTIN ENERGY,2,All Drivers,United States,78758,Parking,Commercial,12/30/2011 08:31:00 AM,"000D:6F00:015A:99EF
Austin, Texas 78758
(30.40304, -97.703682)","11928 Stonehollow Dr
Austin, Texas 78758
(30.40304, -97.703682)"
PLUGNEVERYWHERE / PUB-ACC NRIDGE2,AUSTIN ENERGY,2,All Drivers,United States,78758,Parking,Commercial,12/30/2011 08:33:00 AM,"000D:6F00:015A:974D
Austin, Texas 78758
(30.402954, -97.703636)","11928 Stonehollow Dr
Austin, Texas 78758
(30.402954, -97.703636)"
PLUGNEVERYWHERE / PUB-CENTRALMKTN,AUSTIN ENERGY,1,All Drivers,United States,78705,Parking,Commercial,03/27/2012 11:45:00 AM,"000D:6F00:0154:FA90
Austin, Texas 78705
(30.308495, -97.740775)","4001 N Lamar Blvd
Austin, Texas 78705
(30.308495, -97.740775)"
PLUGNEVERYWHERE / PUB-CENTRALMKTS,AUSTIN ENERGY,1,All Drivers,United States,78745,Parking,Commercial,02/14/2012 10:55:00 AM,"000D:6F00:015A:98A5
Austin, Texas 78745
(30.231918, -97.798882)","4521 Westgate Blvd
Austin, Texas 78745
(30.231918, -97.798882)"
PLUGNEVERYWHERE / PUB-DELL1,AUSTIN ENERGY,2,All Drivers,United States,78722,Parking,Commercial,12/30/2011 10:40:00 AM,"000D:6F00:009D:9A20
Austin, Texas 78722
(30.302507, -97.70694)","4900 Mueller Blvd
Austin, Texas 78722
(30.302507, -97.70694)"
PLUGNEVERYWHERE / PUB-DELL2,AUSTIN ENERGY,2,All Drivers,United States,78722,Parking,Commercial,12/30/2011 10:41:00 AM,"000D:6F00:009D:5C2C
Austin, Texas 78722
(30.302528, -97.706985)","4900 Mueller Blvd
Austin, Texas 78722
(30.302528, -97.706985)"
PLUGNEVERYWHERE / PUB-DELL3,AUSTIN ENERGY,2,All Drivers,United States,78722,Parking,Commercial,01/24/2012 11:23:00 AM,"000D:6F00:009D:6078
Austin, Texas 78722
(30.302517, -97.706963)","4900 Mueller Blvd
Austin, Texas 78722
(30.302517, -97.706963)"
PLUGNEVERYWHERE / PUB-HEBCONGRESS,AUSTIN ENERGY,1,All Drivers,United States,78704,Parking,Commercial,05/02/2012 05:34:00 PM,"000D:6F00:015A:9D6C
Austin, Texas 78704
(30.238998, -97.755074)","2400 S Congress Ave
Austin, Texas 78704
(30.238998, -97.755074)"
PLUGNEVERYWHERE / PUB-STDAVIDSST1,AUSTIN ENERGY,2,All Drivers,United States,78701,Parking,Commercial,06/17/2011 02:00:00 PM,"000D:6F00:009D:7453
Austin, Texas 78701
(30.268719, -97.738899)","710 Trinity St
Austin, Texas 78701
(30.268719, -97.738899)"
PLUGNEVERYWHERE / PUB-STDAVIDSST2,AUSTIN ENERGY,2,All Drivers,United States,78701,Parking,Commercial,06/17/2011 03:39:00 PM,"000D:6F00:009D:D0C7
Austin, Texas 78701
(30.268694, -97.738907)","710 Trinity St
Austin, Texas 78701
(30.268694, -97.738907)"
PLUGNEVERYWHERE / PUBACCHIGHLAND1,AUSTIN ENERGY,2,All Drivers,United States,78752,Parking,Commercial,12/30/2011 11:29:00 AM,"000D:6F00:015A:984F
Austin, Texas 78752
(30.322672, -97.712753)","5930 Middle Fiskville Rd
Austin, Texas 78752
(30.322672, -97.712753)"
PLUGNEVERYWHERE / PUBACCHIGHLAND2,AUSTIN ENERGY,2,All Drivers,United States,78752,Parking,Commercial,12/30/2011 11:30:00 AM,"000D:6F00:0155:4629
Austin, Texas 78752
(30.32288, -97.711792)","5930 Middle Fiskville Rd
Austin, Texas 78752
(30.32288, -97.711792)"
PLUGNEVERYWHERE / PUBACCPINNACLE1,AUSTIN ENERGY,2,All Drivers,United States,78736,Parking,Commercial,12/30/2011 09:56:00 AM,"000D:6F00:009D:CBEE
Austin, Texas 78736
(30.231403, -97.883194)","7748 Hwy 290 W
Austin, Texas 78736
(30.231403, -97.883194)"
PLUGNEVERYWHERE / PUBACCPINNACLE2,AUSTIN ENERGY,2,All Drivers,United States,78736,Parking,Commercial,12/30/2011 09:57:00 AM,"000D:6F00:015A:9B80
Austin, Texas 78736
(30.23143, -97.883171)","7748 Hwy 290 W
Austin, Texas 78736
(30.23143, -97.883171)"
PLUGNEVERYWHERE / PUBACCRIOGRAND1,AUSTIN ENERGY,2,All Drivers,United States,78701,Parking,Commercial,12/30/2011 12:12:00 PM,"000D:6F00:0155:496A
Austin, Texas 78701
(30.277252, -97.747261)","1212 Rio Grande St
Austin, Texas 78701
(30.277252, -97.747261)"
PLUGNEVERYWHERE / PUBACCRIOGRAND2,AUSTIN ENERGY,2,All Drivers,United States,78701,Parking,Commercial,12/30/2011 12:12:00 PM,"000D:6F00:009D:5FC0
Austin, Texas 78701
(30.277239, -97.747215)","1212 Rio Grande St
Austin, Texas 78701
(30.277239, -97.747215)"
PLUGNEVERYWHERE / PUBACCRIVERSID1,AUSTIN ENERGY,2,All Drivers,United States,78741,Parking,Commercial,01/24/2012 12:31:00 PM,"000D:6F00:009D:D268
Austin, Texas 78741
(30.235128, -97.705193)","1020 Grove Blvd
Austin, Texas 78741
(30.235128, -97.705193)"
PLUGNEVERYWHERE / PUBACCRIVERSID2,AUSTIN ENERGY,2,All Drivers,United States,78741,Parking,Commercial,01/26/2012 01:06:00 PM,"000D:6F00:015A:96DD
Austin, Texas 78741
(30.23686, -97.70388)","984 Grove Blvd
Austin, Texas 78741
(30.23686, -97.70388)"
PLUGNEVERYWHERE / PUBACCSOAUSTIN2,AUSTIN ENERGY,2,All Drivers,United States,78745,Parking,Commercial,02/10/2012 08:25:00 AM,"000D:6F00:009D:5FFF
Austin, Texas 78745
(30.21609, -97.796324)","5517 Manchaca Rd
Austin, Texas 78745
(30.21609, -97.796324)"
PLUGNEVERYWHERE / PUBACCSVSCTRST1,AUSTIN ENERGY,2,All Drivers,United States,78754,Workplace,General,01/24/2012 11:10:00 AM,"000D:6F00:0155:49DB
Austin, Texas 78754
(30.339029, -97.662231)","9101 Tuscany Way
Austin, Texas 78754
(30.339029, -97.662231)"
PLUGNEVERYWHERE / PUBACCSVSCTRST2,AUSTIN ENERGY,2,All Drivers,United States,78754,Workplace,General,01/26/2012 04:00:00 PM,"000D:6F00:015A:9BB6
Austin, Texas 78754
(30.338486, -97.662247)","9101 Tuscany Way
Austin, Texas 78754
(30.338486, -97.662247)"
PLUGNEVERYWHERE / PUBAISDBURGERC,AUSTIN ENERGY,2,All Drivers,United States,78745,Parking,Commercial,07/13/2012 05:22:00 PM,"000D:6F00:009D:CC9A
Austin, Texas 78745
(30.228258, -97.811058)","6500 Jones Rd
Austin, Texas 78745
(30.228258, -97.811058)"
PLUGNEVERYWHERE / PUBAMLI1,AUSTIN ENERGY,2,All Drivers,United States,78701,Parking,Commercial,11/01/2011 10:48:00 AM,"000D:6F00:015A:983D
Austin, Texas 78701
(30.265999, -97.748375)","263-299 San Antonio St
Austin, Texas 78701
(30.265999, -97.748375)"
PLUGNEVERYWHERE / PUBCHASEESCAL1,AUSTIN ENERGY,2,All Drivers,United States,78746,Parking,Commercial,09/26/2011 03:04:00 PM,"000D:6F00:015A:9612
Austin, Texas 78746
(30.27567, -97.817127)","4301 Westbank Dr
Austin, Texas 78746
(30.27567, -97.817127)"
PLUGNEVERYWHERE / PUBDENNYSLAKE1,AUSTIN ENERGY,2,All Drivers,United States,78717,Parking,Commercial,09/26/2011 03:13:00 PM,"000D:6F00:00A5:858A
Austin, Texas 78717
(30.474033, -97.798248)","10930 Lakeline Mall Dr
Austin, Texas 78717
(30.474033, -97.798248)"
PLUGNEVERYWHERE / PUBDENNYSLAKE2,AUSTIN ENERGY,2,All Drivers,United States,78717,Parking,Commercial,09/26/2011 03:27:00 PM,"000D:6F00:015A:96F1
Austin, Texas 78717
(30.474014, -97.798279)","10930 Lakeline Mall Dr
Austin, Texas 78717
(30.474014, -97.798279)"
PLUGNEVERYWHERE / PUBDENNYSNORTH1,AUSTIN ENERGY,2,All Drivers,United States,78702,Parking,Commercial,09/26/2011 02:16:00 PM,"000D:6F00:015A:9864
Austin, Texas 78702
(30.276489, -97.729614)","1601 N Interstate 35
Austin, Texas 78702
(30.276489, -97.729614)"
PLUGNEVERYWHERE / PUBDENNYSNORTH2,AUSTIN ENERGY,2,All Drivers,United States,78702,Parking,Commercial,09/26/2011 02:16:00 PM,"000D:6F00:009D:5D73
Austin, Texas 78702
(30.27652, -97.729645)","1601 N Interstate 35
Austin, Texas 78702
(30.27652, -97.729645)"
PLUGNEVERYWHERE / PUBGABLES 5TH 1,AUSTIN ENERGY,2,All Drivers,United States,78703,Parking,Commercial,10/14/2011 11:42:00 AM,"000D:6F00:015A:99AF
Austin, Texas 78703
(30.273914, -97.764313)","1611 W 5th St
Austin, Texas 78703
(30.273914, -97.764313)"
PLUGNEVERYWHERE / PUBGABLES 5TH 2,AUSTIN ENERGY,2,All Drivers,United States,78703,Parking,Commercial,10/16/2011 06:22:00 PM,"000D:6F00:0155:49A9
Austin, Texas 78703
(30.273823, -97.764206)","1611 W 5th St
Austin, Texas 78703
(30.273823, -97.764206)"
PLUGNEVERYWHERE / PUBGABLESPARK 1,AUSTIN ENERGY,2,All Drivers,United States,78701,Parking,Commercial,10/03/2011 03:21:00 PM,"000D:6F00:015A:99E1
Austin, Texas 78701
(30.267687, -97.755051)","115 Sandra Muraida Way
Austin, Texas 78701
(30.267687, -97.755051)"
PLUGNEVERYWHERE / PUBGABLESPARK 2,AUSTIN ENERGY,2,All Drivers,United States,78703,Parking,Commercial,11/18/2011 01:42:00 PM,"000D:6F00:015A:6ECF
Austin, Texas 78703
(30.267736, -97.754929)","115 Sandra Muraida Way
Austin, Texas 78703
(30.267736, -97.754929)"
PLUGNEVERYWHERE / PUBGABLESPRESS1,AUSTIN ENERGY,2,All Drivers,United States,78703,Parking,Commercial,10/16/2011 06:30:00 PM,"000D:6F00:015A:9B27
Austin, Texas 78703
(30.272982, -97.760445)","507 Pressler St
Austin, Texas 78703
(30.272982, -97.760445)"
PLUGNEVERYWHERE / PUBGABLESPRESS2,AUSTIN ENERGY,2,All Drivers,United States,78703,Parking,Commercial,11/18/2011 02:13:00 PM,"000D:6F00:009D:CF2F
Austin, Texas 78703
(30.27289, -97.760269)","507 Pressler St
Austin, Texas 78703
(30.27289, -97.760269)"
PLUGNEVERYWHERE / PUBHEBBRODIEST1,AUSTIN ENERGY,1,All Drivers,United States,78745,Parking,Commercial,03/27/2012 11:45:00 AM,"000D:6F00:015A:9914
Austin, Texas 78745
(30.21613, -97.829525)","6900 Brodie Ln
Austin, Texas 78745
(30.21613, -97.829525)"
PLUGNEVERYWHERE / PUBHILL.CGAL1,AUSTIN ENERGY,2,All Drivers,United States,78738,Parking,Commercial,11/02/2011 01:23:00 PM,"000D:6F00:0155:49ED
Bee Cave, Texas 78738
(30.309689, -97.942062)","12701 Hill Country Blvd
Bee Cave, Texas 78738
(30.309689, -97.942062)"
PLUGNEVERYWHERE / PUBHILL.CGAL2,AUSTIN ENERGY,2,All Drivers,United States,78738,Parking,Commercial,11/16/2011 02:12:00 PM,"000D:6F00:0155:49C2
Bee Cave, Texas 78738
(30.307987, -97.93766)","12901 Hill Country Blvd
Bee Cave, Texas 78738
(30.307987, -97.93766)"
PLUGNEVERYWHERE / PUBLIFEWORKSST1,AUSTIN ENERGY,2,All Drivers,United States,78702,Workplace,General,01/12/2012 11:56:00 AM,"000D:6F00:009D:D267
Austin, Texas 78702
(30.264454, -97.707487)","835 N Pleasant Valley Rd
Austin, Texas 78702
(30.264454, -97.707487)"
PLUGNEVERYWHERE / PUBLIFEWORKSST2,AUSTIN ENERGY,2,All Drivers,United States,78702,Workplace,General,01/24/2012 11:05:00 AM,"000D:6F00:015A:9685
Austin, Texas 78702
(30.264471, -97.707541)","835 N Pleasant Valley Rd
Austin, Texas 78702
(30.264471, -97.707541)"
PLUGNEVERYWHERE / PUBLOSTPARROTS1,AUSTIN ENERGY,2,All Drivers,United States,78734,Parking,Commercial,01/12/2012 12:58:00 PM,"000D:6F00:0154:FF30
Austin, Texas 78734
(30.382643, -97.933861)","15116 Storm Dr
Austin, Texas 78734
(30.382643, -97.933861)"
PLUGNEVERYWHERE / PUBPEARSON CTR1,AUSTIN ENERGY,2,All Drivers,United States,78753,Parking,Commercial,05/25/2011 11:06:00 AM,"000D:6F00:009D:7214
Austin, Texas 78753
(30.417437, -97.664087)","400 Center Ridge Dr
Austin, Texas 78753
(30.417437, -97.664087)"
PLUGNEVERYWHERE / PUBPEARSONH LN1,AUSTIN ENERGY,2,All Drivers,United States,78753,Parking,Commercial,05/25/2011 11:12:00 AM,"000D:6F00:009E:D4A7
Austin, Texas 78753
(30.416589, -97.666054)","Center Line Pass
Austin, Texas 78753
(30.416589, -97.666054)"
PLUGNEVERYWHERE / PUBWYNDHAMGARD1,AUSTIN ENERGY,2,All Drivers,United States,78741,Parking,Commercial,09/06/2011 09:44:00 PM,"000D:6F00:015B:7FFA
Austin, Texas 78741
(30.222803, -97.746101)","3401 S I H 35
Austin, Texas 78741
(30.222803, -97.746101)"
SLEEP INN / SLEEP INN 1,Sleep Inn & Suites - Austin Northeast,2,All Drivers,United States,78754,Hospitality,Hotel / Resort,07/11/2014 01:13:00 PM,"0024:B100:0002:0B04
Austin, Texas 78754
(30.329889, -97.661712)","8410 E Hwy 290
Austin, Texas 78754
(30.329889, -97.661712)"
SPRINGS AT TR / CLUBHOUSE,Springs at Tech Ridge,1,All Drivers,United States,78753,Parking,Commercial,05/02/2014 01:26:00 PM,"000D:6F00:009D:72F0
Austin, Texas 78753
(30.394787, -97.653242)","1304-1444 Farm to Market 734
Austin, Texas 78753
(30.394787, -97.653242)"
SUSTAINABLEFOOD / SUSTAINABLEFOOD,Sustainable Food Center,1,All Drivers,United States,78702,Workplace,General,10/14/2013 10:52:00 AM,"000D:6F00:0155:4B00
Austin, Texas 78702
(30.278611, -97.710364)","2921 E 17th St
Austin, Texas 78702
(30.278611, -97.710364)"
TIG REAL ESTATE / STATION 1,"TIG REAL ESTATE SERVICES, INC.",2,All Drivers,United States,78746,Workplace,General,01/30/2013 10:05:00 AM,"000D:6F00:015A:9861
Austin, Texas 78746
(30.264587, -97.78067)","901 S Mopac Expy
Austin, Texas 78746
(30.264587, -97.78067)"
W1 / W1,Westminster,2,All Drivers,United States,78731,Workplace,General,07/12/2013 02:08:00 PM,"000D:6F00:0154:FDEA
Austin, Texas 78731
(30.314723, -97.756396)","4100 Jackson Ave
Austin, Texas 78731
(30.314723, -97.756396)"
WALLERCREEKSIDE / CREEKSIDE1,51st Living LTD,1,All Drivers,United States,78751,Multifamily Commercial,Apartment,08/12/2014 02:33:00 PM,"0024:B100:0002:0A05
Austin, Texas 78751
(30.315475, -97.724213)","105 W 51rst St
Austin, Texas 78751
(30.315475, -97.724213)"
WHITLEY MAIN / WHITLEY MAIN,Whitley,2,All Drivers,United States,78701,Multifamily Commercial,Condominium,02/09/2015 11:32:00 AM,"0024:B100:0002:1486
Austin, Texas 78701
(30.265199, -97.742194)","301 Brazos St
Austin, Texas 78701
(30.265199, -97.742194)"
WORKPLACE / PUB SUSTAINFOOD,AUSTIN ENERGY,2,All Drivers,United States,78702,Workplace,General,11/04/2011 11:21:00 AM,"000D:6F00:009D:CC90
Austin, Texas 78702
(30.278439, -97.710273)","2921 E 17th St
Austin, Texas 78702
(30.278439, -97.710273)"
CLAY COOLEY / QUICK CHARGER 1,Clay Cooley Nissan of Austin,1,All Drivers,United States,78745,Retail,Auto Dealership,,"000D:6F00:00A2:0D40
Austin, Texas 78745
(30.206127, -97.758965)","4914 S IH 35 Frontage Rd
Austin, Texas 78745
(30.206127, -97.758965)"
