Month Key,Month-Year,Total Incidents,Austin Incidents,Travis County Incidents,Other Area Incidents,Combined Austin and Travis County Incidents,Austin P1 Incidents,Austin P2 Incidents,Austin P3 Incidents,Austin P4 Incidents,Austin P5 Incidents,Travis County P1 Incidents,Travis County P2 Incidents,Travis County P3 Incidents,Travis County P4 Incidents,Travis County P5 Incidents,Overall On-Time Compliance,Austin On-Time Compliance,Travis County On-Time Compliance,Austin P1 On-Time Compliance,Austin P2 On-Time Compliance,Austin P3 On-Time Compliance,Austin P4 On-Time Compliance,Austin P5 On-Time Compliance,Travis County P1 On-Time Compliance,Travis County P2 On-Time Compliance,Travis County P3 On-Time Compliance,Travis County P4 On-Time Compliance,Travis County P5 On-Time Compliance,Target On-Time Compliance
201010,10/01/2010 12:00:00 AM,8910,7571,1321,18,8892,533,2103,1039,2938,958,81,380,199,498,163,95.77%,97.32%,86.42%,94.15%,96.78%,99.26%,98.82%,94.57%,79.73%,77.22%,89.77%,95.67%,88.11%,90.00%
201011,11/01/2010 12:00:00 AM,7826,6564,1232,30,7796,401,1896,931,2540,796,83,346,165,473,165,96.01%,97.23%,89.40%,93.00%,96.73%,98.94%,98.43%,95.49%,80.77%,82.97%,89.10%,96.75%,92.91%,90.00%
201012,12/01/2010 12:00:00 AM,8182,6858,1290,34,8148,458,1892,903,2655,950,97,363,177,501,152,95.45%,96.88%,87.59%,93.15%,96.63%,98.67%,98.24%,94.50%,75.28%,81.85%,86.34%,96.04%,92.54%,90.00%
201101,01/01/2011 12:00:00 AM,8287,7081,1185,21,8266,466,2017,1025,2573,1000,77,336,184,450,138,95.92%,97.13%,88.36%,95.40%,96.34%,97.99%,98.82%,95.25%,66.67%,86.82%,90.80%,94.42%,88.10%,90.00%
201102,02/01/2011 12:00:00 AM,8241,6969,1255,17,8224,426,2058,982,2520,983,79,382,198,429,167,94.52%,96.14%,84.99%,92.21%,96.18%,97.78%,97.97%,92.52%,64.38%,81.06%,85.31%,93.75%,88.59%,90.00%
201103,03/01/2011 12:00:00 AM,8764,7449,1302,13,8751,514,2091,1056,2832,956,82,358,216,489,157,95.46%,96.51%,89.25%,93.64%,96.92%,97.68%,98.07%,92.42%,78.67%,85.76%,89.90%,95.16%,88.97%,90.00%
201104,04/01/2011 12:00:00 AM,8848,7506,1319,23,8825,475,2219,1064,2790,958,84,389,197,498,151,95.79%,97.47%,86.07%,94.35%,97.23%,98.54%,98.92%,95.09%,71.23%,79.08%,90.96%,92.40%,90.14%,90.00%
201105,05/01/2011 12:00:00 AM,9166,7704,1432,30,9136,534,2294,1059,2869,948,115,407,205,527,178,95.84%,97.37%,87.17%,93.07%,97.17%,98.11%,98.52%,96.70%,71.43%,83.10%,89.67%,94.80%,87.42%,90.00%
201106,06/01/2011 12:00:00 AM,9102,7743,1339,20,9082,530,2258,1078,2849,1028,82,407,200,467,183,95.70%,97.09%,87.41%,92.67%,96.81%,97.95%,98.26%,96.57%,74.65%,83.15%,88.64%,94.82%,87.01%,90.00%
201107,07/01/2011 12:00:00 AM,9121,7762,1349,10,9111,561,2295,1084,2801,1021,111,406,183,485,164,95.33%,96.79%,86.73%,92.64%,96.40%,98.06%,98.65%,94.69%,71.58%,80.94%,87.27%,94.29%,93.92%,90.00%
201108,08/01/2011 12:00:00 AM,9418,8014,1389,15,9403,546,2382,1137,2881,1068,87,386,212,522,182,95.64%,97.08%,86.97%,95.24%,95.90%,98.22%,98.79%,95.94%,73.33%,81.69%,84.74%,95.14%,89.73%,90.00%
201109,09/01/2011 12:00:00 AM,8826,7434,1376,16,8810,536,2163,1042,2706,987,79,373,219,509,196,95.88%,97.08%,89.03%,94.51%,96.93%,98.29%,98.05%,95.51%,72.86%,83.58%,87.96%,96.87%,93.17%,90.00%
201110,10/01/2011 12:00:00 AM,9200,7837,1342,21,9179,493,2361,1062,2894,1027,76,389,209,524,144,95.36%,96.77%,86.36%,93.67%,96.57%,96.62%,98.42%,95.34%,64.79%,79.76%,90.86%,94.34%,89.43%,90.00%
201111,11/01/2011 12:00:00 AM,8386,7080,1286,20,8366,490,1940,1028,2682,940,94,368,206,458,160,96.45%,97.62%,89.99%,94.05%,97.18%,98.10%,98.88%,97.07%,73.56%,84.37%,93.75%,97.39%,92.41%,90.00%
201112,12/01/2011 12:00:00 AM,8221,6976,1228,17,8204,489,1944,942,2666,935,95,357,199,421,156,96.10%,97.37%,88.85%,92.36%,97.12%,98.02%,98.64%,97.13%,78.65%,83.69%,89.62%,96.15%,91.37%,90.00%
201201,01/01/2012 12:00:00 AM,8510,7243,1254,13,8497,520,2050,1077,2612,984,89,370,192,437,166,96.15%,97.51%,87.89%,92.93%,96.88%,98.07%,99.18%,97.21%,70.00%,85.12%,88.76%,95.31%,89.93%,90.00%
201202,02/01/2012 12:00:00 AM,8469,7215,1245,9,8460,483,2045,1019,2725,943,101,358,170,452,164,95.98%,97.02%,89.85%,93.47%,96.42%,97.74%,98.68%,95.72%,86.67%,84.89%,90.62%,94.86%,92.11%,90.00%
201203,03/01/2012 12:00:00 AM,10031,8681,1328,22,10009,595,2478,1108,3366,1134,79,362,207,518,162,95.83%,96.99%,87.93%,93.38%,96.41%,97.38%,98.92%,95.45%,70.67%,84.71%,87.23%,94.48%,90.44%,90.00%
201204,04/01/2012 12:00:00 AM,9498,8047,1437,14,9484,596,2344,1083,3000,1024,94,396,227,526,194,95.32%,96.49%,88.60%,91.70%,95.69%,98.58%,98.22%,94.94%,74.16%,82.58%,89.66%,95.68%,93.02%,90.00%
201205,05/01/2012 12:00:00 AM,9971,8561,1398,12,9959,613,2458,1222,3183,1085,104,398,200,516,180,95.58%,96.77%,87.88%,92.22%,96.36%,98.18%,98.75%,94.21%,76.67%,80.62%,89.39%,96.56%,91.45%,90.00%
201206,06/01/2012 12:00:00 AM,9747,8368,1362,17,9730,565,2472,1126,3171,1034,87,381,198,500,196,95.93%,97.05%,88.75%,91.07%,96.62%,98.10%,98.55%,96.65%,64.20%,85.96%,89.66%,96.52%,90.64%,90.00%
201207,07/01/2012 12:00:00 AM,9777,8381,1376,20,9757,587,2451,1119,3134,1090,99,381,194,538,164,96.29%,97.63%,87.72%,93.31%,97.49%,98.20%,98.80%,97.02%,73.86%,79.88%,89.35%,96.42%,92.41%,90.00%
201208,08/01/2012 12:00:00 AM,10056,8588,1423,45,10011,528,2425,1194,3281,1160,93,426,196,518,190,95.25%,96.77%,85.84%,92.21%,95.50%,97.68%,98.47%,96.90%,60.49%,82.13%,85.88%,94.55%,89.08%,90.00%
201209,09/01/2012 12:00:00 AM,9676,8260,1408,8,9668,543,2468,1084,3123,1042,120,383,208,551,146,95.89%,96.83%,90.09%,92.08%,95.48%,98.00%,98.77%,96.63%,68.63%,88.60%,89.84%,97.16%,92.13%,90.00%
201210,10/01/2012 12:00:00 AM,9553,8213,1314,26,9527,558,2343,1147,3158,1007,83,373,197,503,158,95.77%,96.82%,88.98%,89.92%,96.29%,98.46%,98.27%,96.35%,70.51%,86.63%,88.07%,96.20%,89.93%,90.00%
201211,11/01/2012 12:00:00 AM,8970,7652,1309,9,8961,524,2237,1079,2903,909,100,360,225,494,130,95.61%,96.83%,88.16%,92.60%,95.72%,97.86%,99.12%,95.16%,73.96%,80.75%,91.43%,95.36%,95.73%,90.00%
201212,12/01/2012 12:00:00 AM,9290,7879,1378,33,9257,615,2250,1113,2972,929,119,398,205,506,150,95.81%,97.06%,88.32%,91.20%,97.23%,98.61%,98.53%,94.97%,79.61%,82.62%,87.89%,96.53%,91.11%,90.00%
201301,01/01/2013 12:00:00 AM,9217,7864,1342,11,9206,568,2224,1198,2898,976,100,383,225,492,142,95.72%,96.81%,88.93%,92.10%,95.76%,98.36%,98.57%,95.96%,72.34%,83.99%,91.54%,96.73%,92.37%,90.00%
201302,02/01/2013 12:00:00 AM,8299,7090,1198,11,8288,454,2013,1022,2823,778,83,327,188,481,119,95.96%,97.04%,89.14%,93.24%,96.38%,98.61%,98.72%,94.14%,74.68%,87.63%,89.08%,95.68%,85.11%,90.00%
201303,03/01/2013 12:00:00 AM,9777,8351,1411,15,9762,544,2326,1163,3357,961,102,431,211,513,154,95.55%,96.73%,88.50%,89.58%,96.62%,97.69%,98.78%,94.43%,72.92%,83.64%,86.39%,97.01%,94.93%,90.00%
201304,04/01/2013 12:00:00 AM,9477,8076,1389,12,9465,565,2333,1134,3148,896,116,386,223,534,130,95.30%,96.42%,88.54%,88.65%,95.73%,98.49%,98.24%,95.49%,78.85%,80.36%,90.77%,95.65%,96.40%,90.00%
201305,05/01/2013 12:00:00 AM,10136,8706,1423,7,10129,624,2512,1238,3337,995,89,389,216,603,126,94.94%,96.01%,88.00%,91.09%,95.14%,96.87%,97.61%,96.00%,75.00%,82.35%,85.64%,94.88%,95.45%,90.00%
201306,06/01/2013 12:00:00 AM,10229,8753,1465,11,10218,601,2575,1210,3358,1009,111,420,199,575,160,95.21%,96.29%,88.27%,93.35%,94.66%,97.85%,98.40%,95.03%,75.00%,81.72%,92.27%,95.01%,92.96%,90.00%
201307,07/01/2013 12:00:00 AM,10021,8541,1462,18,10003,626,2537,1183,3204,991,114,446,212,554,136,96.03%,97.01%,90.10%,94.40%,96.50%,97.21%,98.48%,95.98%,79.21%,88.14%,90.27%,94.07%,93.55%,90.00%
201308,08/01/2013 12:00:00 AM,9732,8318,1403,11,9721,589,2459,1165,3175,930,123,418,210,512,140,95.52%,96.76%,87.84%,92.68%,96.07%,97.67%,98.43%,95.48%,70.59%,82.83%,91.75%,95.58%,90.98%,90.00%
201309,09/01/2013 12:00:00 AM,9586,8056,1513,17,9569,611,2377,1034,3142,892,105,455,235,557,161,96.19%,97.01%,91.87%,93.67%,96.30%,97.55%,98.95%,95.28%,83.67%,89.66%,94.37%,95.37%,90.54%,90.00%
201310,10/01/2013 12:00:00 AM,10288,8559,1437,292,9996,654,2398,1172,3356,979,109,400,198,589,141,95.76%,96.59%,90.53%,90.84%,95.95%,98.20%,98.33%,95.32%,86.90%,88.17%,88.89%,94.06%,90.98%,90.00%
201311,11/01/2013 12:00:00 AM,9611,8036,1476,99,9512,609,2245,1107,3112,963,108,427,211,579,151,95.87%,96.66%,91.46%,92.95%,96.44%,98.11%,98.07%,94.39%,80.81%,87.83%,95.92%,96.80%,88.06%,90.00%
201312,12/01/2013 12:00:00 AM,9677,8118,1546,13,9664,610,2283,1193,3076,956,147,446,206,576,171,95.45%,96.54%,89.61%,92.34%,95.16%,98.26%,98.27%,95.94%,75.91%,86.16%,93.78%,95.17%,90.91%,90.00%
201401,01/01/2014 12:00:00 AM,10019,8511,1491,17,10002,627,2359,1195,3338,992,118,434,205,569,165,95.12%,96.17%,89.05%,92.35%,95.20%,97.95%,97.23%,95.95%,73.68%,85.53%,91.40%,94.71%,92.67%,90.00%
201402,02/01/2014 12:00:00 AM,8845,7521,1314,10,8835,505,2146,1048,2907,915,113,356,201,484,160,95.91%,96.83%,90.62%,95.22%,95.87%,97.37%,98.34%,95.70%,80.58%,86.21%,90.43%,96.34%,94.63%,90.00%
201403,03/01/2014 12:00:00 AM,10331,8800,1513,18,10313,571,2519,1279,3466,965,87,415,243,605,163,96.37%,97.04%,92.32%,94.80%,96.17%,98.77%,98.66%,93.88%,80.26%,88.33%,94.55%,96.75%,92.90%,90.00%
201404,04/01/2014 12:00:00 AM,10030,8591,1432,7,10023,541,2530,1263,3268,989,110,387,230,532,173,96.10%,97.02%,90.37%,93.71%,96.68%,98.13%,98.48%,94.60%,74.26%,88.39%,90.91%,96.71%,90.74%,90.00%
201405,05/01/2014 12:00:00 AM,10605,8974,1616,15,10590,615,2517,1392,3425,1025,100,428,240,650,198,95.87%,96.89%,90.08%,92.15%,96.49%,97.68%,98.36%,95.82%,80.43%,87.70%,88.73%,94.43%,91.21%,90.00%
201406,06/01/2014 12:00:00 AM,10231,8730,1492,9,10222,601,2377,1307,3378,1067,104,399,240,560,189,96.25%,97.23%,90.50%,94.21%,96.95%,97.90%,98.07%,96.64%,80.00%,84.77%,92.66%,97.33%,90.34%,90.00%
201407,07/01/2014 12:00:00 AM,10566,8982,1574,10,10556,618,2548,1350,3403,1063,119,443,232,592,188,95.35%,96.23%,90.26%,91.83%,95.55%,97.28%,97.84%,94.86%,77.57%,86.72%,90.61%,95.37%,94.12%,90.00%
201408,08/01/2014 12:00:00 AM,10509,8963,1534,12,10497,673,2588,1290,3380,1032,94,402,259,602,177,95.96%,96.90%,90.35%,92.64%,95.79%,98.26%,98.58%,96.36%,78.82%,84.44%,92.74%,95.59%,92.45%,90.00%
201409,09/01/2014 12:00:00 AM,10355,8767,1578,10,10345,590,2436,1316,3374,1051,97,423,251,652,155,95.13%,96.02%,90.05%,91.34%,95.49%,97.78%,97.31%,94.44%,73.03%,86.21%,94.32%,94.94%,89.73%,90.00%
201410,10/01/2014 12:00:00 AM,11250,9075,1705,470,10780,579,2527,1353,3602,1014,110,451,251,716,177,94.78%,95.66%,90.05%,93.03%,94.81%,96.93%,97.64%,92.26%,72.16%,85.86%,93.16%,94.81%,92.55%,90.00%
201411,11/01/2014 12:00:00 AM,9751,8209,1538,4,9747,536,2275,1215,3205,978,106,424,223,622,163,95.35%,96.05%,91.47%,90.25%,95.65%,97.11%,97.88%,94.16%,75.00%,87.53%,91.58%,97.77%,94.59%,90.00%
201412,12/01/2014 12:00:00 AM,10096,8455,1628,13,10083,635,2355,1292,3182,991,123,445,242,630,188,95.14%,96.19%,89.69%,92.35%,94.84%,97.83%,97.86%,95.51%,77.88%,84.63%,92.07%,95.04%,93.14%,90.00%
201501,01/01/2015 12:00:00 AM,9932,8302,1605,25,9907,597,2305,1345,3050,1005,125,467,251,588,174,95.09%,96.34%,88.69%,91.35%,95.57%,96.94%,97.84%,96.76%,73.91%,83.97%,89.29%,96.82%,89.94%,90.00%
201502,02/01/2015 12:00:00 AM,9541,8053,1471,17,9524,496,2154,1359,3137,907,121,438,227,520,165,94.80%,95.79%,89.24%,90.95%,95.38%,96.95%,97.52%,93.19%,74.11%,84.76%,91.54%,95.65%,94.77%,90.00%
201503,03/01/2015 12:00:00 AM,11007,9360,1627,20,10987,638,2638,1414,3626,1044,124,443,219,658,183,94.93%,95.79%,90.07%,91.64%,94.27%,97.22%,97.93%,94.64%,77.06%,83.29%,95.54%,96.25%,91.18%,90.00%
201504,04/01/2015 12:00:00 AM,10644,9013,1608,23,10621,641,2589,1359,3422,1002,120,467,236,615,170,94.41%,95.24%,89.78%,90.28%,94.30%,96.95%,97.47%,92.70%,83.04%,84.07%,92.31%,95.41%,91.72%,90.00%
201505,05/01/2015 12:00:00 AM,11648,9804,1819,25,11623,695,2707,1529,3756,1117,125,574,219,705,196,94.32%,95.39%,88.37%,91.64%,94.60%,96.56%,97.40%,93.09%,70.37%,85.24%,88.77%,93.89%,93.48%,90.00%
201506,06/01/2015 12:00:00 AM,11648,9965,1655,28,11620,755,2889,1463,3703,1155,97,531,179,672,176,93.94%,94.64%,89.73%,91.38%,93.25%,96.53%,97.20%,91.71%,80.00%,84.05%,90.68%,96.15%,93.25%,90.00%
201507,07/01/2015 12:00:00 AM,11791,10046,1727,18,11773,770,2148,2185,3815,1128,99,492,303,688,145,94.88%,95.70%,90.07%,90.51%,95.01%,97.21%,97.71%,92.54%,74.19%,84.40%,88.64%,97.23%,97.67%,90.00%
201508,08/01/2015 12:00:00 AM,11729,9994,1707,28,11701,757,2122,2140,3877,1098,109,448,262,689,199,94.65%,95.62%,88.88%,88.66%,94.49%,97.01%,97.92%,93.65%,83.00%,83.00%,89.27%,94.09%,91.89%,90.00%
201509,09/01/2015 12:00:00 AM,11232,9590,1609,33,11199,721,2208,2082,3658,921,128,406,282,641,152,94.95%,95.92%,89.06%,91.92%,95.10%,96.94%,97.56%,93.63%,75.86%,81.56%,90.48%,96.45%,94.29%,90.00%
201510,10/01/2015 12:00:00 AM,11448,9644,1786,18,11430,732,2081,1991,3779,1061,122,436,315,734,179,94.30%,95.21%,89.12%,91.21%,93.78%,96.96%,96.92%,92.94%,76.64%,83.12%,91.51%,94.94%,91.30%,90.00%
201511,11/01/2015 12:00:00 AM,10179,8583,1569,27,10152,640,1952,1686,3299,1006,114,404,275,611,165,94.31%,95.17%,89.44%,87.77%,94.49%,96.91%,97.20%,93.19%,74.76%,85.48%,91.67%,96.14%,88.24%,90.00%
201512,12/01/2015 12:00:00 AM,10346,8688,1650,8,10338,684,1910,1709,3456,929,122,409,259,693,167,95.78%,96.51%,91.90%,91.74%,95.49%,97.71%,98.12%,95.26%,81.74%,87.70%,93.53%,96.57%,93.04%,90.00%
201601,01/01/2016 12:00:00 AM,10327,8705,1608,14,10313,662,1920,1739,3409,975,129,403,281,621,174,95.89%,96.75%,91.16%,93.86%,96.19%,98.02%,97.80%,94.73%,81.15%,87.02%,91.34%,96.37%,94.41%,90.00%
201602,02/01/2016 12:00:00 AM,10401,8788,1585,28,10373,686,1980,1686,3474,962,123,424,298,577,163,95.06%,95.85%,90.81%,93.07%,95.35%,96.88%,97.76%,92.01%,81.20%,85.22%,93.33%,96.05%,93.59%,90.00%
201603,03/01/2016 12:00:00 AM,11184,9408,1751,25,11159,756,2105,1839,3640,1068,144,457,328,683,139,95.27%,96.18%,90.31%,90.79%,95.74%,97.54%,97.62%,94.74%,77.37%,86.84%,91.28%,96.40%,91.47%,90.00%
201604,04/01/2016 12:00:00 AM,11049,9329,1700,20,11029,710,2073,1879,3694,973,133,432,250,705,180,94.42%,95.24%,89.84%,90.26%,93.26%,96.72%,97.59%,93.33%,77.42%,86.17%,90.91%,95.42%,89.87%,90.00%
201605,05/01/2016 12:00:00 AM,11336,9486,1827,23,11313,726,2030,1916,3791,1023,149,489,289,744,156,95.24%,95.97%,91.33%,91.71%,94.38%,97.44%,98.38%,92.69%,75.86%,89.18%,91.80%,95.76%,94.24%,90.00%
201606,06/01/2016 12:00:00 AM,11311,9514,1784,13,11298,747,2115,1907,3601,1144,121,436,325,716,186,94.20%,95.28%,88.40%,90.75%,94.54%,96.31%,96.97%,93.77%,76.15%,83.38%,89.75%,93.86%,89.94%,90.00%
201607,07/01/2016 12:00:00 AM,11167,9411,1735,21,11146,748,2099,1955,3570,1039,132,480,283,667,173,94.79%,95.70%,89.81%,89.49%,94.50%,97.05%,97.59%,94.92%,72.17%,86.92%,93.46%,93.82%,93.46%,90.00%
201608,08/01/2016 12:00:00 AM,11222,9556,1649,17,11205,789,2064,2139,3531,1033,119,436,271,642,181,93.72%,94.65%,88.48%,90.47%,92.36%,96.48%,96.61%,93.40%,70.91%,84.92%,91.67%,94.77%,87.12%,90.00%
